title,levelRaw,url
while (screen is blue),17.5,https://sdvxindex.com/s/1974/3/
Witch in Sweetsland,17.5,https://sdvxindex.com/s/0615/3/
Xb10r,17.5,https://sdvxindex.com/s/1771/3/
Xeno Gravity,17.5,https://sdvxindex.com/s/2151/3/
Xinca,17.5,https://sdvxindex.com/s/2088/3/
Xroniàl Xéro,17.5,https://sdvxindex.com/s/1548/3/
XROSS INFECTION,17.5,https://sdvxindex.com/s/0258/3/
あれこれそれどれ,17.5,https://sdvxindex.com/s/0574/3/
イグジスタンス,17.5,https://sdvxindex.com/s/0470/3/
ウエンレラの氷華,17.5,https://sdvxindex.com/s/0908/4/
エンゲージ〆ント,17.5,https://sdvxindex.com/s/1390/5/
オルターエゴ,17.5,https://sdvxindex.com/s/1657/5/
カミサマネジマキ,17.5,https://sdvxindex.com/s/0108/4/
ゲキツイムラサ,17.5,https://sdvxindex.com/s/0858/3/
ケロ⑨destiny,17.5,https://sdvxindex.com/s/0130/4/
コメット⇒スケイター,17.5,https://sdvxindex.com/s/1281/5/
シープドリーミン,17.5,https://sdvxindex.com/s/1408/5/
シル・ヴ・プレジデント,17.5,https://sdvxindex.com/s/1918/5/
すべてが幻になった後で,17.5,https://sdvxindex.com/s/1895/3/
セツナトリップ,17.5,https://sdvxindex.com/s/0078/4/
それは花火のような恋,17.5,https://sdvxindex.com/s/1162/5/
チクサクコールが懐かしい,17.5,https://sdvxindex.com/s/1798/5/
チルノとまりおのパーフェクトさんすう教室,17.5,https://sdvxindex.com/s/0823/3/
ディスコルディア,17.5,https://sdvxindex.com/s/1736/3/
ナイト・オブ・ナイツ,17.5,https://sdvxindex.com/s/0134/4/
パ→ピ→プ→Yeah!,17.5,https://sdvxindex.com/s/0682/3/
ハガネノツルギ,17.5,https://sdvxindex.com/s/2105/5/
バンブーソード・ガール,17.5,https://sdvxindex.com/s/0443/3/
"ピアノ協奏曲第１番""蠍火""",17.5,https://sdvxindex.com/s/1849/3/
"ピアノ独奏無言歌 ""灰燼""",17.5,https://sdvxindex.com/s/1887/3/
プラネタジャーニー,17.5,https://sdvxindex.com/s/1212/5/
プレインエイジア(MRM REMIX),17.5,https://sdvxindex.com/s/1230/5/
ぼくらの16bit戦争,17.5,https://sdvxindex.com/s/1342/5/
ムーニャポヨポヨスッポコニャーゴ,17.5,https://sdvxindex.com/s/0333/3/
メモリーズ,17.5,https://sdvxindex.com/s/1880/5/
